Product,category,prix,commission
PURPLE TOOTHPASTE,HEALTH & BEAUTY,179.0,21.0
SLIMMING PATCH,HEALTH & BEAUTY,179.0,20.0
SUPER MONEY GUN,TOYS & GAMES,179.0,20.0
MULTI-PURPOSE CHOPPER,"HOME, GARDEN & FURNITURE",179.0,21.0
MOISTURIZING SOCKS,"CLOTHING, SHOES & JEWELRY",179.0,20.0
SKIN ENHANCING CREAM,HEALTH & BEAUTY,199.0,23.0
LIQUID FOUNDATION,HEALTH & BEAUTY,169.0,20.0
HAIR CARE CREAM,HEALTH & BEAUTY,199.0,23.0
ELECTRIC FACE MASSAGER,HEALTH & BEAUTY,179.0,20.0
SORE NECK OINTMENT,HEALTH & BEAUTY,169.0,20.0
COLLAGEN FIRMING MASK - KSA,HEALTH & BEAUTY,249.0,25.0
DIGITAL SCREEN BLUETOOTH HEADPHONES,ELECTRONICS & ACCESSORIES,199.0,24.0
COLLAGEN FACE SERUM SET - KSA,HEALTH & BEAUTY,189.0,22.0
COLLAGEN HAIR MOISTURIZER,HEALTH & BEAUTY,249.0,24.0
HAIR NATURAL SHAMPOO,HEALTH & BEAUTY,189.0,21.0
HAIR PACK TRIO,HEALTH & BEAUTY,199.0,20.0
ANTI AGING SERUM,HEALTH & BEAUTY,179.0,20.0
MEDICAL SANDALES FOR MEN,"CLOTHING, SHOES & JEWELRY",199.0,20.0
BABY FEEDING SPOON,HEALTH & BEAUTY,189.0,21.0
MULTI-PURPOSE BROOM,"HOME, GARDEN & FURNITURE",229.0,24.0
MULTI-PURPOSE CUTTER,"HOME, GARDEN & FURNITURE",209.0,21.0
ULTRASONIC PORTABLE NEBULIZER,HEALTH & BEAUTY,219.0,20.0
WIRELESS CAR CHARGER,CARS & ACCESSORIES,199.0,20.0
FAT BURNING SHIRT,"CLOTHING, SHOES & JEWELRY",179.0,20.0
HIGH PRESSURE FAUCET HEAD,"HOME, GARDEN & FURNITURE",179.0,20.0
FOOD BOX FOR CHILDREN,"HOME, GARDEN & FURNITURE",189.0,22.0
SHOULDER SPRAY PAIN RELIEF -KSA,HEALTH & BEAUTY,179.0,21.0
NECK PILLOW FOR CAR SEAT,CARS & ACCESSORIES,189.0,21.0
ELECTRIC LINT REMOVER FOR CLOTHES,ELECTRONICS & ACCESSORIES,179.0,20.0
DUMPLING MAKER 2 IN 1,"HOME, GARDEN & FURNITURE",199.0,23.0
LEATHER WOMEN WALLET,"CLOTHING, SHOES & JEWELRY",199.0,23.0
SMALL SHAVING MACHINE,ELECTRONICS & ACCESSORIES,179.0,20.0
SHOE CLEANER,HEALTH & BEAUTY,179.0,20.0
ANTI-AGING CREAM,HEALTH & BEAUTY,179.0,21.0
EYE CREAM ANTI AGING,HEALTH & BEAUTY,169.0,21.0
CALLUSES PEDICURE ELECTRIC FOOT GRINDER - KSA,HEALTH & BEAUTY,199.0,24.0
MANUAL LEMON SQUEEZER,"HOME, GARDEN & FURNITURE",159.0,18.0
ADJUSTABLE SWIVEL SPOUT,"HOME, GARDEN & FURNITURE",239.0,22.0
HAIR STYLING SET,HEALTH & BEAUTY,249.0,23.0
EYE MOISTURIZING SPRAY,HEALTH & BEAUTY,179.0,20.0
BEARD STRAIGHTENING COMB.,HEALTH & BEAUTY,159.0,17.0
BEARD GROWTH,HEALTH & BEAUTY,269.0,25.0
HAIR CONDITIONER,HEALTH & BEAUTY,189.0,23.0
SOLO TRIMMER,HEALTH & BEAUTY,179.0,22.0
MULTI-PURPOSE LIGHTER,ELECTRONICS & ACCESSORIES,179.0,20.0
HIP SUPPORT BRACE,HEALTH & BEAUTY,189.0,21.0
BEARD HIGHLIGHTER PEN,HEALTH & BEAUTY,179.0,20.0
CAR DEODORIZER,CARS & ACCESSORIES,179.0,20.0
FOAM TEETH WHITENING - KSA,HEALTH & BEAUTY,189.0,24.0
HAND CARE SERUM - KSA,HEALTH & BEAUTY,199.0,21.0
SKIN TIGHTENING CREAM,HEALTH & BEAUTY,259.0,34.0
HAIR CREAM,HEALTH & BEAUTY,259.0,34.0
ELECTRIC HAIR STEAMER WITH COMB,HEALTH & BEAUTY,199.0,21.0
DARK CIRCLES REMOVAL CREAM,HEALTH & BEAUTY,199.0,20.0
SKIN CARE CREAM,HEALTH & BEAUTY,189.0,20.0
HAIR MOISTURIZING CREAM,HEALTH & BEAUTY,189.0,20.0
BE HEALTHY - KSA,HEALTH & BEAUTY,259.0,16.0
3X CABLE ORGANIZER WINDER,ELECTRONICS & ACCESSORIES,169.0,20.0
FIRMING EYE CREAM,HEALTH & BEAUTY,179.0,20.0
WIRELESS BLUETOOTH SELFIE STICK,ELECTRONICS & ACCESSORIES,189.0,20.0
SOLAR WALL LIGHT,"HOME, GARDEN & FURNITURE",179.0,20.0
CAR FUEL SAVER,CARS & ACCESSORIES,179.0,20.0
STRENGTH TAPE KINESIOLOGY,HEALTH & BEAUTY,169.0,20.0
3X SILICONE CHARGER PROTECTOR,ELECTRONICS & ACCESSORIES,179.0,20.0
ELECTRONIC DEVICE CLEANING KIT,ELECTRONICS & ACCESSORIES,169.0,21.0
WOMEN ORTHOPEDIC SNEAKERS,"CLOTHING, SHOES & JEWELRY",179.0,19.0
FRONT SLIT BRA,LINGERIE,189.0,20.0
STEERING WHEEL COVER,CARS & ACCESSORIES,179.0,20.0
BODY SHAPING BELT - KSA,HEALTH & BEAUTY,169.0,20.0
WOMEN SLIMMING SHAPEWEAR,"CLOTHING, SHOES & JEWELRY",179.0,19.0
GRAPHENE FACE SLIMMING STRAP,HEALTH & BEAUTY,179.0,20.0
MORINGA FACE CREAM,HEALTH & BEAUTY,199.0,20.0
KID LEARNING POCKET VOCAB,TOYS & GAMES,179.0,20.0
VARICOSE VEINS RELIEF CREAM,HEALTH & BEAUTY,169.0,20.0
MULTI MACA,HEALTH & BEAUTY,189.0,20.0
AFGHAN OIL,HEALTH & BEAUTY,189.0,20.0
MULTI-USE SAFETY LOCK,"HOME, GARDEN & FURNITURE",169.0,20.0
SMART NECK MASSAGER,HEALTH & BEAUTY,249.0,25.0
CAR LIGHT STRIPS,CARS & ACCESSORIES,169.0,20.0
PAIN RELIEF HEAT MASSAGE PAD,HEALTH & BEAUTY,199.0,20.0
VARICOSE VEINS CREAM,HEALTH & BEAUTY,179.0,20.0
AFGHAN HAIR OIL,HEALTH & BEAUTY,199.0,20.0
EYEBROW PERMANENT MAKEUP SET,HEALTH & BEAUTY,159.0,22.0
EYEBROW STAMP SHAPING KIT,HEALTH & BEAUTY,199.0,22.0
HAIR HEATING COMB,ELECTRONICS & ACCESSORIES,209.0,20.0
GINGER HAIR SHAMPOO,HEALTH & BEAUTY,189.0,21.0
MAKEUP REMOVING CREAM,HEALTH & BEAUTY,179.0,20.0
ELECTRIC MASSAGER,HEALTH & BEAUTY,179.0,22.0
WEIGHT LOSS BODY SLIMMING SPRAY,HEALTH & BEAUTY,199.0,20.0
ADHESIVE STRIPS FOR SLIMMING,HEALTH & BEAUTY,179.0,20.0
PSORIASIS CREAM,HEALTH & BEAUTY,169.0,20.0
EARWAX REMOVAL TOOL - KSA,HEALTH & BEAUTY,199.0,21.0
JAYSUING HAIR TREATMENT - KSA,HEALTH & BEAUTY,189.0,20.0
EYEBROW SET,HEALTH & BEAUTY,159.0,22.0
ELECTRIC FOOT MASSAGER - KSA,HEALTH & BEAUTY,199.0,23.0
BEARD GROWTH PACK,HEALTH & BEAUTY,225.0,23.0
BLACK BRIGHT CURING SHAMPOO,HEALTH & BEAUTY,189.0,23.0
ULTRASONIC TOOTHBRUSH,HEALTH & BEAUTY,189.0,22.0
2X COPPER FLOOR DRAIN,"HOME, GARDEN & FURNITURE",189.0,20.0
ROSEMARY OIL FOR HAIR,HEALTH & BEAUTY,179.0,19.0
BELLY FAT REMOVAL PATCHES,HEALTH & BEAUTY,249.0,35.0
HERBAL OINTMENT FOR ECZEMA,HEALTH & BEAUTY,249.0,35.0
WAIST-CINCHING SHORTS,"CLOTHING, SHOES & JEWELRY",259.0,35.0
FACE ACNE CREAM,HEALTH & BEAUTY,259.0,35.0
YES FINISHING TOUCH,HEALTH & BEAUTY,179.0,20.0
MORINGA POWDER DIETARY SUPPLEMENT,HEALTH & BEAUTY,269.0,25.0
ELECTRIC TRIMMER,ELECTRONICS & ACCESSORIES,199.0,20.0
ELECTRIC HAIR STRAIGHTENER,ELECTRONICS & ACCESSORIES,189.0,20.0
WOMEN NIGHT ROBE,LINGERIE,189.0,20.0
CAR AIR FRESHENER,CARS & ACCESSORIES,179.0,20.0
FACIAL OIL ABSORBING ROLLER,HEALTH & BEAUTY,179.0,20.0
JEWELRY POLISHING SPRAY,"CLOTHING, SHOES & JEWELRY",169.0,20.0
BACK AND SHOULDER CORSET,HEALTH & BEAUTY,199.0,22.0
EYELASHES GROWTH SERUM,HEALTH & BEAUTY,179.0,25.0
GINGER HAIR GROWTH NOURISHING SPRAY,HEALTH & BEAUTY,299.0,28.0
EYEBROW SHAPING KIT,HEALTH & BEAUTY,179.0,22.0
MULTIFUNCTION PHONE HOLDER,ELECTRONICS & ACCESSORIES,159.0,18.0
TOE BRACE,HEALTH & BEAUTY,179.0,20.0
3 IN 1 WIRELESS CHARGER,ELECTRONICS & ACCESSORIES,239.0,20.0
BRACELET WITH CHARGING CABLE,ELECTRONICS & ACCESSORIES,169.0,20.0
WOMEN'S ELECTRIC SHAVER,ELECTRONICS & ACCESSORIES,189.0,20.0
CAR PHONE MOUNT,CARS & ACCESSORIES,199.0,20.0
ELECTRIC MANICURE SET,HEALTH & BEAUTY,169.0,19.0
TWO-TONE EYEBROW POWDER,HEALTH & BEAUTY,189.0,20.0
FLYING SAUCER BALL,TOYS & GAMES,179.0,20.0
NOSE OINTMENT CREAM,HEALTH & BEAUTY,169.0,20.0
RICE WATER SOAP SHAMPOO,HEALTH & BEAUTY,189.0,22.0
DEROL LIP GLOSS,HEALTH & BEAUTY,169.0,20.0
PAIN RELIEF STICKERS,HEALTH & BEAUTY,169.0,20.0
SILICONE PATCH FOR WRINKLES REMOVING,HEALTH & BEAUTY,189.0,20.0
PHONES MINI USB CAR CHARGER,CARS & ACCESSORIES,189.0,20.0
HIPS SMOOTHING MOISTURIZER CREAM,HEALTH & BEAUTY,179.0,20.0
SPORTS KNEE BRACE,HEALTH & BEAUTY,169.0,16.0
RECHARGEABLE VEGETABLE CHOPPER,"HOME, GARDEN & FURNITURE",179.0,20.0
NATURAL HERBAL KNEE,HEALTH & BEAUTY,169.0,20.0
BED SHEETS HANDY GADGET,"HOME, GARDEN & FURNITURE",169.0,20.0
ELECTRIC MINI SHAVER - KSA,ELECTRONICS & ACCESSORIES,179.0,23.0
SMALL ELECTRIC MASSAGER - KSA,HEALTH & BEAUTY,189.0,24.0
ELECTRIC PEDICURE DEVICE - KSA,HEALTH & BEAUTY,189.0,23.0
LIP SERUM - KSA,HEALTH & BEAUTY,189.0,25.0
TEETH WHITENING GEL - KSA,HEALTH & BEAUTY,189.0,25.0
ELECTRIC NOSE HAIR TRIMMER,HEALTH & BEAUTY,189.0,22.0
CLIPPERS HAIR SET,HEALTH & BEAUTY,399.0,30.0
FINGER STRENGTHENER,HEALTH & BEAUTY,179.0,20.0
LED MOTION SENSOR - KSA,ELECTRONICS & ACCESSORIES,189.0,20.0
WAIST CORSET,LINGERIE,179.0,20.0
ACNE REMOVAL CREAM,HEALTH & BEAUTY,169.0,20.0
MOISTURIZING WITH COCOA BUTTER,HEALTH & BEAUTY,169.0,20.0
SILICONE BRA,LINGERIE,169.0,20.0
SNAIL EXTRACT CREAM,HEALTH & BEAUTY,199.0,20.0
EYEBROW STAMPS,HEALTH & BEAUTY,159.0,22.0
CAMPING FLASHLIGHT,ELECTRONICS & ACCESSORIES,225.0,20.0
DUMPLING MAGIC 2-IN-1,"HOME, GARDEN & FURNITURE",189.0,20.0
YES FINISH TOUCH - OR,HEALTH & BEAUTY,199.0,23.0
4 IN 1 HANDHELD ELECTRIC VEGETABLE SLICER SET,"HOME, GARDEN & FURNITURE",199.0,22.0
SUPER BRIGHT FLASHLIGHT,ELECTRONICS & ACCESSORIES,205.0,20.0
ELECTRIC MIXER,"HOME, GARDEN & FURNITURE",249.0,23.0
MASSAGE DEVICE - KSA,HEALTH & BEAUTY,199.0,22.0
SKIN EXFOLIATION AND DEAD CELL REMOVAL DEVICE,HEALTH & BEAUTY,199.0,22.0
T6 FLASHLIGHT.,CARS & ACCESSORIES,199.0,22.0
TEETH WHITENING FOAM,HEALTH & BEAUTY,179.0,25.0
TEETH WHITENING SPRAY,HEALTH & BEAUTY,179.0,25.0
TOURMALINE SELF HEATING HEATED SOCKS - EL,HEALTH & BEAUTY,179.0,24.0
SILICONE GLOVES,"HOME, GARDEN & FURNITURE",179.0,22.0
SILICONE PANCAKE MOLD,"HOME, GARDEN & FURNITURE",179.0,22.0
MULTIFUNCTIONAL MEN'S QUICK BEARD STRAIGHTENER,HEALTH & BEAUTY,179.0,22.0
EYEBROW STAMP SHAPING KIT - CH,HEALTH & BEAUTY,199.0,25.0
LED TOUCH WALL LIGHT LAMP II,CARS & ACCESSORIES,249.0,25.0
ELASTIC ARM SLEEVES,"CLOTHING, SHOES & JEWELRY",199.0,25.0
MULTIFUNCTIONAL PISTOL LIGHTS,ELECTRONICS & ACCESSORIES,219.0,20.0
FACE MASK V,HEALTH & BEAUTY,199.0,20.0
DETOX FOOT PATCH,HEALTH & BEAUTY,199.0,23.0
HAIR CLAMP BLACK PLASTIC JEWELED,HEALTH & BEAUTY,199.0,20.0
MULTIFUNCTION ANTI-THEFT BAG WITH USB CHARGING,"HOME, GARDEN & FURNITURE",299.0,23.0
CAR LUMBAR SUPPORT,CARS & ACCESSORIES,299.0,23.0
MORINGA BODY CREAM,HEALTH & BEAUTY,199.0,20.0
USB STARS PROJECTOR - BLUE,CARS & ACCESSORIES,199.0,20.0
CRYSTAL HAIR REMOVAL,HEALTH & BEAUTY,299.0,25.0
DOUBLE SIDED TAPE HEAVY DUTY,"HOME, GARDEN & FURNITURE",199.0,20.0
CAR INTERIOR LIGHTS,CARS & ACCESSORIES,249.0,22.0
EROS POWERS,HEALTH & BEAUTY,299.0,30.0
WATER ABSORBENT FLOOR RUG,"HOME, GARDEN & FURNITURE",249.0,22.0
PROFESSIONAL HAIR TRIMMER,HEALTH & BEAUTY,249.0,22.0
DYY1 WIRELESS HEADPHONE,CARS & ACCESSORIES,299.0,25.0
SMART SUNGLASSES,CARS & ACCESSORIES,299.0,25.0
KIDS TOOTHBRUSH U-SHAPED - HEART,HEALTH & BEAUTY,199.0,22.0
KIDS TOOTHBRUSH U-SHAPED - OVAL,HEALTH & BEAUTY,199.0,22.0
BAELLERRY MEN WALLET - BLACK,CARS & ACCESSORIES,199.0,22.0
VEGETABLE SLICER,"HOME, GARDEN & FURNITURE",199.0,22.0
PHONE TELESCOPE LENS,CARS & ACCESSORIES,199.0,22.0
ONESTEP HAIR DRYER 2IN1,HEALTH & BEAUTY,299.0,25.0
ANTI SNORING DEVICE,HEALTH & BEAUTY,199.0,22.0
SEWING MACHINE,"HOME, GARDEN & FURNITURE",299.0,22.0
DEAD SKIN REMOVAL MACHINE,HEALTH & BEAUTY,199.0,22.0
SMART BACK POSTURE CORRECTOR,HEALTH & BEAUTY,199.0,22.0
BOX CIGARETTE CONTAINER,CARS & ACCESSORIES,199.0,22.0
مشد الظهر والاكتاف,HEALTH & BEAUTY,199.0,22.0
PANCAKE MAKING MOLD,HEALTH & BEAUTY,199.0,22.0
SILICONE HAND GLOVES,"HOME, GARDEN & FURNITURE",199.0,22.0
LASER PEN FOR SKIN CARE,HEALTH & BEAUTY,199.0,22.0
HAIR STRAIGHTENER FOR MEN,HEALTH & BEAUTY,199.0,22.0
MULTI-FUNCTIONAL TOILET CHAIR,HEALTH & BEAUTY,199.0,22.0
